District,Date,Rainfall,Rainfall_1Day,Rainfall_3Day,Rainfall_7Day,Rainfall_7Day_Avg,FloodRisk
Chennai,2020-01-07,2.2,2.2,11.5,22.4,3.2,0
Chennai,2020-01-08,0.1,0.1,6.3,15.9,2.271428571428572,0
Chennai,2020-01-09,0.0,0.0,2.3000000000000003,13.6,1.942857142857143,0
Chennai,2020-01-10,0.0,0.0,0.1,12.0,1.7142857142857142,0
Chennai,2020-01-11,0.0,0.0,0.0,11.6,1.657142857142857,0
Chennai,2020-01-12,2.0,2.0,2.0,8.3,1.1857142857142855,0
Chennai,2020-01-13,0.1,0.1,2.1,4.4,0.6285714285714287,0
Chennai,2020-01-14,0.0,0.0,2.1,2.2,0.3142857142857143,0
Chennai,2020-01-15,0.0,0.0,0.1,2.1,0.3,0
Chennai,2020-01-16,0.0,0.0,0.0,2.1,0.3,0
Chennai,2020-01-17,2.2,2.2,2.2,4.300000000000001,0.6142857142857144,0
Chennai,2020-01-18,10.7,10.7,12.9,15.0,2.142857142857143,0
Chennai,2020-01-19,0.0,0.0,12.9,13.0,1.8571428571428568,0
Chennai,2020-01-20,0.0,0.0,10.7,12.9,1.842857142857143,0
Chennai,2020-01-21,0.0,0.0,0.0,12.9,1.842857142857143,0
Chennai,2020-01-22,0.0,0.0,0.0,12.9,1.842857142857143,0
Chennai,2020-01-23,0.1,0.1,0.1,13.0,1.8571428571428568,0
Chennai,2020-01-24,0.0,0.0,0.1,10.8,1.5428571428571427,0
Chennai,2020-01-25,0.0,0.0,0.1,0.1,0.0142857142857142,0
Chennai,2020-01-26,0.0,0.0,0.0,0.1,0.0142857142857142,0
Chennai,2020-01-27,0.0,0.0,0.0,0.1,0.0142857142857142,0
Chennai,2020-01-28,0.0,0.0,0.0,0.1,0.0142857142857142,0
Chennai,2020-01-29,0.0,0.0,0.0,0.1,0.0142857142857142,0
Chennai,2020-01-30,0.0,0.0,0.0,0.0,0.0,0
Chennai,2020-01-31,0.0,0.0,0.0,0.0,0.0,0
Chennai,2020-02-01,0.0,0.0,0.0,0.0,0.0,0
Chennai,2020-02-02,0.0,0.0,0.0,0.0,0.0,0
Chennai,2020-02-03,0.0,0.0,0.0,0.0,0.0,0
Chennai,2020-02-04,1.0,1.0,1.0,1.0,0.1428571428571428,0
Chennai,2020-02-05,0.0,0.0,1.0,1.0,0.1428571428571428,0
Chennai,2020-02-06,0.0,0.0,1.0,1.0,0.1428571428571428,0
Chennai,2020-02-07,0.0,0.0,0.0,1.0,0.1428571428571428,0
Chennai,2020-02-08,0.0,0.0,0.0,1.0,0.1428571428571428,0
Chennai,2020-02-09,0.8,0.8,0.8,1.8,0.2571428571428572,0
Chennai,2020-02-10,0.0,0.0,0.8,1.8,0.2571428571428572,0
Chennai,2020-02-11,0.2,0.2,1.0,1.0,0.1428571428571428,0
Chennai,2020-02-12,0.5,0.5,0.7,1.5,0.2142857142857142,0
Chennai,2020-02-13,0.0,0.0,0.7,1.5,0.2142857142857142,0
Chennai,2020-02-14,0.0,0.0,0.4999999999999999,1.5,0.2142857142857142,0
Chennai,2020-02-15,0.0,0.0,0.0,1.5,0.2142857142857142,0
Chennai,2020-02-16,0.0,0.0,0.0,0.7,0.0999999999999999,0
Chennai,2020-02-17,0.0,0.0,0.0,0.7,0.0999999999999999,0
Chennai,2020-02-18,0.0,0.0,0.0,0.4999999999999999,0.0714285714285714,0
Chennai,2020-02-19,0.0,0.0,0.0,0.0,0.0,0
Chennai,2020-02-20,0.0,0.0,0.0,0.0,0.0,0
Chennai,2020-02-21,0.0,0.0,0.0,0.0,0.0,0
Chennai,2020-02-22,0.3,0.3,0.2999999999999999,0.2999999999999999,0.0428571428571428,0
Chennai,2020-02-23,0.8,0.8,1.1,1.1,0.1571428571428571,0
Chennai,2020-02-24,0.0,0.0,1.1,1.1,0.1571428571428571,0
Chennai,2020-02-25,0.1,0.1,0.8999999999999999,1.2,0.1714285714285714,0
Chennai,2020-02-26,0.4,0.4,0.4999999999999999,1.6,0.2285714285714286,0
Chennai,2020-02-27,0.2,0.2,0.7,1.8,0.2571428571428572,0
Chennai,2020-02-28,0.3,0.3,0.8999999999999999,2.1,0.3,0
Chennai,2020-02-29,0.5,0.5,1.0,2.3,0.3285714285714285,0
Chennai,2020-03-01,0.2,0.2,0.9999999999999998,1.7,0.2428571428571428,0
Chennai,2020-03-02,0.0,0.0,0.7,1.7,0.2428571428571428,0
Chennai,2020-03-03,0.0,0.0,0.1999999999999999,1.6,0.2285714285714285,0
Chennai,2020-03-04,0.0,0.0,0.0,1.2,0.1714285714285714,0
Chennai,2020-03-05,0.0,0.0,0.0,1.0,0.1428571428571428,0
Chennai,2020-03-06,0.6,0.6,0.5999999999999999,1.2999999999999998,0.1857142857142857,0
